ind_num,ID,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,lower_spines
138,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,4,0
139,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,5,0
140,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,6,0
141,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,7,0
142,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,8,0
143,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,9,0
144,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,10,0
145,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,11,0
146,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,12,0
147,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,13,0
148,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,14,0
149,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,15,0
150,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,16,0
151,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,17,0
152,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,18,0
153,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,19,0
154,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,20,0
155,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,21,0
156,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,22,0
157,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,23,0
158,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,24,0
159,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,25,0
160,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,26,0
161,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,27,0
162,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,28,0
163,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,29,0
164,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,29,0
165,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,30,0
166,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,31,0
167,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,32,0
168,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,33,0
169,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,34,0
170,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,35,0
171,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,36,0
172,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,37,0
173,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,38,0
174,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,39,0
175,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,40,0
176,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,41,0
177,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,42,0
178,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,43,0
179,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,1,0
180,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,2,0
181,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,3,0
182,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,4,0
183,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,5,0
184,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,6,0
185,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,7,0
186,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,8,0
187,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,9,0
188,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,10,0
189,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,11,0
190,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,12,0
191,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,13,0
192,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,14,0
193,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,15,0
194,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,16,0
195,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,17,0
196,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,18,0
197,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,19,0
198,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,20,0
199,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,21,0
200,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,22,0
201,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,23,0
202,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,24,0
203,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,25,0
204,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,26,0
205,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,27,0
206,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,28,0
207,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,29,0
208,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,30,0
209,CDRS_57139,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,1,0
210,CDRS_57139,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,2,0
211,CDRS_57139,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,3,0
212,CDRS_57139,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,4,0
213,CDRS_57139,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,5,0
214,CDRS_57139,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,6,0
215,CDRS_57139,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,7,0
216,CDRS_57139,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,8,0
217,CDRS_57139,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,9,0
218,CDRS_57139,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,10,0
219,CDRS_57139,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,11,0
220,CDRS_57139,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,12,0
221,CDRS_57139,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,13,0
222,CDRS_57139,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,14,0
