ind_num,ID,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,spine_length,spine_length_log,spine_length_sqr
142,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,8,4.18,1.6448050562713916,2.0445048300260873
143,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,9,2.41,1.2267122912954254,1.5524174696260025
144,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,10,5.72,1.9050881545350582,2.3916521486202797
145,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,11,4.69,1.7387102481382397,2.1656407827707715
146,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,12,4.85,1.766441661243765,2.202271554554524
147,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,13,5,1.791759469228055,2.23606797749979
148,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,14,4.01,1.6114359150967734,2.0024984394500787
149,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,15,6.3,1.9878743481543455,2.5099800796022267
150,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,16,3.74,1.556037135706985,1.9339079605813716
151,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,17,5.25,1.8325814637483102,2.29128784747792
152,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,18,5.13,1.81319474994812,2.264950330581225
153,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,19,5.27,1.8357763546448294,2.295648056649799
154,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,20,5.55,1.8794650496471605,2.355843797877949
155,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,21,4.08,1.6253112615903906,2.0199009876724157
156,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,22,5.78,1.9139771019523042,2.4041630560342617
157,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,23,6.03,1.9501867058225735,2.455605831561735
158,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,24,5.02,1.7950872593207297,2.240535650240808
159,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,25,5.85,1.9242486522741338,2.4186773244895647
160,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,26,5.6,1.8870696490323797,2.3664319132398464
161,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,27,4.77,1.7526720805200082,2.1840329667841556
162,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,28,4.16,1.6409365794934714,2.039607805437114
163,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,29,4.01,1.6114359150967734,2.0024984394500787
164,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,29,3.54,1.5129270120532565,1.8814887722226779
165,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,30,5.12,1.8115620965242347,2.262741699796952
166,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,31,5.45,1.864080130807681,2.3345235059857505
167,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,32,5.63,1.891604804197771,2.3727621035409343
