ID,Herbarium,year_collected,continent,mainland_island,island_group,location,Galapagos_island,finch_beak,site,individual_sample,spine_length,spine_length_log,spine_length_sqr
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,6.7,2.0412203288596382,2.588435821108957
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,1.89,1.0612565021243408,1.374772708486752
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,2.41,1.2267122912954254,1.5524174696260025
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,3.74,1.556037135706985,1.9339079605813716
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,3.22,1.4398351280479207,1.794435844492636
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,0,0,0
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,0,0,0
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,3.51,1.506297153514587,1.8734993995195195
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,1.57,0.9439058989071285,1.2529964086141667
CDRS_57135,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,Academy Bay,36,4.05,1.6193882432872684,2.0124611797498106
CDRS_57135,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,Academy Bay,36,4.44,1.6937790608678513,2.1071307505705477
CDRS_57135,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,Academy Bay,36,4.21,1.6505798557652755,2.0518284528683193
CDRS_57135,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,Academy Bay,36,3.31,1.4609379041156565,1.8193405398660252
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.67,1.8976198599275322,2.3811761799581315
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.78,1.9139771019523042,2.4041630560342617
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,6.54,2.020222182019865,2.5573423705088842
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,7.22,2.1065702090680882,2.6870057685088806
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,3.01,1.3887912413184778,1.7349351572897471
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.39,1.6845453849209058,2.0952326839756963
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,3.91,1.5912739418064292,1.977371993328519
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.4,1.6863989535702288,2.0976176963403033
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.28,1.8373699804801074,2.2978250586152114
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.19,1.8229350866965048,2.2781571499789037
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.78,1.7544036826842861,2.186321110907545
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,6.58,2.0255131996542803,2.565151067676132
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.9,1.7749523509116738,2.2135943621178655
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.17,1.6428726885203377,2.0420577856662137
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.99,1.7900914121273581,2.233830790368868
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,6.08,1.9572739077056285,2.4657656011875906
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.25,1.6582280766035324,2.0615528128088303
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.03,1.6154199841116479,2.0074859899884734
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,3.37,1.4747630091074988,1.835755975068582
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.95,1.7833912195575383,2.224859546128699
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.61,1.888583653863595,2.3685438564654024
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,3.94,1.597365331199831,1.9849433241279208
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.75,1.749199854809259,2.179449471770337
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.18,1.6448050562713916,2.0445048300260873
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,2.41,1.2267122912954254,1.5524174696260025
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.72,1.9050881545350582,2.3916521486202797
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.69,1.7387102481382397,2.1656407827707715
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.85,1.766441661243765,2.202271554554524
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5,1.791759469228055,2.23606797749979
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.01,1.6114359150967734,2.0024984394500787
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.3,1.9878743481543455,2.5099800796022267
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,3.74,1.556037135706985,1.9339079605813716
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.25,1.8325814637483102,2.29128784747792
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.13,1.81319474994812,2.264950330581225
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.27,1.8357763546448294,2.295648056649799
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.55,1.8794650496471605,2.355843797877949
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,4.08,1.6253112615903906,2.0199009876724157
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.78,1.9139771019523042,2.4041630560342617
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.03,1.9501867058225735,2.455605831561735
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.02,1.7950872593207297,2.240535650240808
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.85,1.9242486522741338,2.4186773244895647
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.6,1.8870696490323797,2.3664319132398464
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,4.77,1.7526720805200082,2.1840329667841556
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,4.16,1.6409365794934714,2.039607805437114
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,4.01,1.6114359150967734,2.0024984394500787
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,3.54,1.5129270120532565,1.8814887722226779
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.12,1.8115620965242347,2.262741699796952
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.45,1.864080130807681,2.3345235059857505
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.63,1.891604804197771,2.3727621035409343
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,4.48,1.7011051009599243,2.1166010488516727
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,4.22,1.6524974018945473,2.0542638584174138
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,7.7,2.163323025660538,2.7748873851023217
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,3.09,1.4085449700547104,1.7578395831246945
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,4.69,1.7387102481382397,2.1656407827707715
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,4.98,1.7884205679625405,2.23159136044214
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.12,1.8115620965242347,2.262741699796952
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.03,1.7967470107390942,2.2427661492005804
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,4.25,1.6582280766035324,2.0615528128088303
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,3.46,1.4951487660319727,1.8601075237738274
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,4.94,1.7817091333745536,2.222611077089287
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,7.48,2.1377104498038118,2.734958866235469
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,7.07,2.0881534822818573,2.658947160061666
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,5.69,1.900613874140137,2.3853720883753127
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,7.9,2.186051276738094,2.8106938645110393
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,5.08,1.8050046959780757,2.253885533916929
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,6.2,1.9740810260220096,2.4899799195977463
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,4.89,1.7732559976634952,2.211334438749598
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,6.69,2.0399207835175526,2.5865034312755126
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,5.14,1.814824742159051,2.2671568097509267
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,5.67,1.8976198599275322,2.3811761799581315
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,5.89,1.9300710850255671,2.4269322199023193
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,0,0,0
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,7.39,2.127040520479115,2.7184554438136375
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,0,0,0
