ID,Herbarium,year_collected,continent,mainland_island,island_group,location,Galapagos_island,finch_beak,site,individual_sample,tip_distance,tip_distance_log,tip_distance_sqr
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,6.46,2.0095554142156695,2.541653005427767
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,3.66,1.5390154481375546,1.9131126469708992
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,3.5,1.5040773967762742,1.8708286933869707
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,5.74,1.9080599249242156,2.3958297101421877
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,8.49,2.2502386126218363,2.9137604568666933
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,8.44,2.244955980157409,2.90516780926679
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,0,0,0
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,0,0,0
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,7.43,2.131796772013764,2.725802634087802
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,3.99,1.6074359097634274,1.997498435543818
CDRS_57135,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,Academy Bay,36,12.23,2.5824869781268642,3.4971416900091423
CDRS_57135,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,Academy Bay,36,10.18,2.414126467726953,3.1906112267087634
CDRS_57135,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,Academy Bay,36,7.68,2.1610215286722587,2.7712812921102037
CDRS_57135,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,Academy Bay,36,6.35,1.9947003132247452,2.5199206336708304
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,11.27,2.50715725872282,3.357082066318904
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,11.53,2.528125768907977,3.395585369269929
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,12.22,2.5817308344235403,3.4957116585897072
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,14.49,2.740194654428777,3.8065732621348563
