ind_num,ID,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,length,length_log,length_sqr
92,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,3,5.52,1.7083778602890038,2.349468024894146
93,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,4,4.32,1.463255402256019,2.078460969082653
94,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,5,4.33,1.4655675420143985,2.080865204668481
95,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,1,6.15,1.8164520818184267,2.479919353527449
96,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,2,6.75,1.9095425048844386,2.598076211353316
97,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,3,7.32,1.9906103279732201,2.705549851693737
98,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,4,5.46,1.6974487897568136,2.3366642891095846
99,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,5,6.09,1.8066480817218056,2.467792535850613
100,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,6,4.88,1.5851452198650557,2.209072203437452
101,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,7,5.46,1.6974487897568136,2.3366642891095846
102,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,8,8.14,2.096790180014449,2.8530685235374214
103,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,9,6.78,1.9139771019523042,2.6038433132583076
104,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,10,6.67,1.8976198599275322,2.582634314028992
105,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,11,6.45,1.864080130807681,2.539685019840059
106,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,12,7.21,1.9754689512968577,2.6851443164195103
107,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,13,5.56,1.715598108262491,2.3579652245103193
108,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,14,6.98,1.9430489167742813,2.6419689627245813
109,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,1,7.13,1.9643112344262046,2.670205984563738
110,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,2,7.03,1.9501867058225735,2.6514147167125706
111,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,3,4.34,1.4678743481123135,2.083266665599966
112,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,4,5.59,1.7209792871670078,2.364318083507378
113,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,5,5.89,1.7732559976634952,2.4269322199023193
114,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,6,5.58,1.7191887763932197,2.3622023622035435
115,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,8.29,2.1150499691472033,2.8792360097775935
116,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,8.48,2.1377104498038118,2.9120439557122073
117,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,3,8.21,2.105352923464337,2.8653097563788807
118,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,4,6.84,1.922787731634459,2.615339366124404
119,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,1,5.36,1.6789639750827108,2.3151673805580453
120,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,2,6.1,1.8082887711792655,2.4698178070456938
121,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,3,6.78,1.9139771019523042,2.6038433132583076
122,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,4,6.29,1.8389610707123492,2.5079872407968904
123,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,5,4.93,1.5953389880545987,2.2203603311174516
124,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,6,6.09,1.8066480817218056,2.467792535850613
125,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,7,5.63,1.728109442151599,2.3727621035409343
126,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,8,5.75,1.749199854809259,2.3979157616563596
127,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,9,5.48,1.7011051009599243,2.340939982143925
128,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,10,6.09,1.8066480817218056,2.467792535850613
129,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,11,5.44,1.6937790608678513,2.3323807579381204
130,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,12,6.56,1.8809906029559975,2.5612496949731396
131,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,13,6.7,1.9021075263969205,2.588435821108957
132,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,14,6.87,1.927164106234258,2.6210684844162313
133,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,15,3.95,1.3737155789130306,1.9874606914351791
134,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,16,4.51,1.506297153514587,2.12367605815953
135,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,1,5.23,1.6544112780768316,2.2869193252058544
136,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,2,4.98,1.6054298910365616,2.23159136044214
137,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,3,4.98,1.6054298910365616,2.23159136044214
138,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,4,5.75,1.749199854809259,2.3979157616563596
139,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,5,5.54,1.7119945007591924,2.353720459187964
140,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,6,5.12,1.6331544390514163,2.262741699796952
141,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,7,5.75,1.749199854809259,2.3979157616563596
142,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,8,5.98,1.7884205679625405,2.445403852127497
143,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,9,5.94,1.7817091333745536,2.4372115213907883
144,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,10,5.94,1.7817091333745536,2.4372115213907883
145,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,11,5.62,1.7263316639055997,2.3706539182259396
146,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,12,4.39,1.47932922708708,2.0952326839756963
147,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,13,6.02,1.7950872593207297,2.453568829277059
148,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,14,5.58,1.7191887763932197,2.3622023622035435
149,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,15,6,1.791759469228055,2.449489742783178
150,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,16,6.35,1.8484548129046001,2.5199206336708304
151,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,17,5.34,1.6752256529721035,2.3108440016582685
152,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,18,7.83,2.057962510002712,2.7982137159266447
153,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,19,6.39,1.8547342683894434,2.5278449319529077
154,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,20,7.26,1.9823798288367047,2.694438717061496
155,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,21,6.09,1.8066480817218056,2.467792535850613
156,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,22,8.13,2.0955609235597192,2.8513154858766505
157,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,23,6.28,1.8373699804801074,2.5059928172283334
158,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,24,7.15,1.9671123567059163,2.6739483914241875
159,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,25,6.23,1.8293763327993617,2.495996794869737
160,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,26,6.93,1.9358598132018119,2.6324893162176366
161,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,27,7.23,1.9782390361706734,2.6888659319497505
162,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,28,5.32,1.6714733033535532,2.3065125189341593
163,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,29,6.41,1.8578592709325787,2.5317977802344327
164,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,29,5.89,1.7732559976634952,2.4269322199023193
165,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,30,7.28,1.9851308622085946,2.6981475126464085
166,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,31,5.97,1.7867469274045107,2.4433583445741234
167,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,32,6.34,1.8468787684491346,2.5179356624028344
168,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,33,7.64,2.033397603178429,2.7640549922170505
169,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,34,6.04,1.7984040119467235,2.4576411454889016
170,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,35,7.09,1.958685340544036,2.6627053911388696
171,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,36,5.16,1.6409365794934714,2.2715633383201093
172,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,37,6.5,1.8718021769015913,2.5495097567963922
173,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,38,5.81,1.7595805708638197,2.41039415863879
174,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,39,7.06,1.9544450515051506,2.6570660511172846
175,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,40,7.25,1.9810014688665833,2.692582403567252
176,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,41,6.66,1.8961194845522977,2.5806975801127883
177,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,42,4.18,1.430311246536665,2.0445048300260873
178,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,43,4.68,1.5432981099295553,2.1633307652783933
179,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,1,9.53,2.254444717666111,3.087069808086626
180,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,2,9.61,2.262804222982201,3.1
181,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,3,8,2.0794415416798357,2.8284271247461903
182,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,4,7.07,1.9558604799084813,2.658947160061666
183,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,5,6.66,1.8961194845522977,2.5806975801127883
184,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,6,5.39,1.6845453849209058,2.32163735324878
185,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,7,7.15,1.9671123567059163,2.6739483914241875
186,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,8,4.19,1.4327007339340465,2.046948949045872
187,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,9,7.81,2.0554049638515948,2.794637722496424
188,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,10,7,1.9459101490553132,2.6457513110645907
189,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,11,6.89,1.9300710850255671,2.6248809496813372
190,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,12,6.8,1.916922612182061,2.6076809620810595
191,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,13,8.24,2.1090003439213802,2.870540018881465
192,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,14,5.56,1.715598108262491,2.3579652245103193
193,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,15,6.37,1.851599469584072,2.5238858928247927
194,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,16,7.23,1.9782390361706734,2.6888659319497505
195,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,17,8.25,2.1102132003465894,2.8722813232690143
196,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,18,7.91,2.0681277817795625,2.812472222085047
197,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,19,7.24,1.979621206397625,2.6907248094147422
198,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,20,4.7,1.547562508716013,2.16794833886788
199,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,21,6.15,1.8164520818184267,2.479919353527449
200,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,22,6.98,1.9430489167742813,2.6419689627245813
201,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,23,6.29,1.8389610707123492,2.5079872407968904
202,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,24,7.33,1.9919755158985601,2.7073972741361767
203,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,25,6.18,1.8213182714695995,2.4859605789312105
204,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,26,7.09,1.958685340544036,2.6627053911388696
205,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,27,6.17,1.8196988379172965,2.483948469674844
