ID,Herbarium,year_collected,continent,mainland_island,island_group,location,Galapagos_island,finch_beak,site,individual_sample,depth,depth_log,depth_sqr
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,5.02,1.6134299337036377,2.240535650240808
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,4.67,1.541159071680806,2.1610182784974308
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,4.87,1.5830939370944985,2.2068076490713913
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,5.74,1.747459210331475,2.3958297101421877
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,5.43,1.691939133945844,2.3302360395462087
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,5.54,1.7119945007591924,2.353720459187964
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,5.27,1.6620303625532709,2.295648056649799
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,5.49,1.7029282555214393,2.3430749027719964
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,5.17,1.6428726885203377,2.2737634001804143
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,5.57,1.7173950539391927,2.360084744241189
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,5.8,1.7578579175523736,2.4083189157584592
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,5.54,1.7119945007591924,2.353720459187964
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,3.78,1.3297240096314962,1.944222209522358
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,4.01,1.3887912413184778,2.0024984394500787
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,5.24,1.6563214983329508,2.2891046284519194
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,3.87,1.3532545070416904,1.9672315572906003
