ind_num,ID,Herb_name,Herb_number,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,length,width,depth,spine_length,tip_distance,spine_num,upper_spines,lower_spines,country,location,notes,latitude,longitude,Location notes,Temp,Temp_S,Prec,varP
75,CDRS_13775,CDRS,13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,6,8.04,4.78,6.39,3.47,9.92,2,1,0,Ecuador,Cerro Punta Pitt,NA,-0.70819444,-89.24333333,,24.07222176,169.8041534,483.6666565,85.86229706
76,CDRS_13775,CDRS,13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,7,7.61,3.44,5.29,4.95,11.54,4,1,1,Ecuador,Cerro Punta Pitt,NA,-0.70819444,-89.24333333,,24.07222176,169.8041534,483.6666565,85.86229706
77,CDRS_13775,CDRS,13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,8,6.21,4.97,6.03,2.23,5.78,4,1,1,Ecuador,Cerro Punta Pitt,NA,-0.70819444,-89.24333333,,24.07222176,169.8041534,483.6666565,85.86229706
78,CDRS_13775,CDRS,13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,9,5.13,2.43,4.52,2.5,6.73,2,1,0,Ecuador,Cerro Punta Pitt,NA,-0.70819444,-89.24333333,,24.07222176,169.8041534,483.6666565,85.86229706
79,CDRS_13775,CDRS,13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,10,6.24,1.87,4.52,2.78,5.55,2,1,0,Ecuador,Cerro Punta Pitt,NA,-0.70819444,-89.24333333,,24.07222176,169.8041534,483.6666565,85.86229706
80,CDRS_13775,CDRS,13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,11,6.27,2.86,4.88,3.67,7.53,2,1,0,Ecuador,Cerro Punta Pitt,NA,-0.70819444,-89.24333333,,24.07222176,169.8041534,483.6666565,85.86229706
81,CDRS_13775,CDRS,13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,12,5.76,3.81,5.19,1.92,4.86,2,1,0,Ecuador,Cerro Punta Pitt,NA,-0.70819444,-89.24333333,,24.07222176,169.8041534,483.6666565,85.86229706
82,CDRS_13775,CDRS,13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,13,5.45,4.14,4.84,1.64,4.01,2,1,0,Ecuador,Cerro Punta Pitt,NA,-0.70819444,-89.24333333,,24.07222176,169.8041534,483.6666565,85.86229706
83,CDRS_16045,CDRS,16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,6.62,2.83,4.33,3.95,10.08,4,1,1,Ecuador,Botadero,NA,-0.583427,-90.355697,,22.32083321,170.2732544,239,97.56349945
84,CDRS_16045,CDRS,16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,5.64,2.21,3.63,3.41,6.49,4,1,1,Ecuador,Botadero,NA,-0.583427,-90.355697,,22.32083321,170.2732544,239,97.56349945
85,CDRS_16356,CDRS,16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,1,5.23,3.42,4.51,0,0,4,0,1,Ecuador,Puerto Villamil,NA,-0.954888,-90.965222,,24.09583282,158.6083984,318,84.72167206
86,CDRS_16356,CDRS,16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,2,4.9,2.76,4.43,0,0,4,0,1,Ecuador,Puerto Villamil,NA,-0.954888,-90.965222,,24.09583282,158.6083984,318,84.72167206
87,CDRS_16356,CDRS,16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,3,4.67,2.76,4.48,0,0,4,0,1,Ecuador,Puerto Villamil,NA,-0.954888,-90.965222,,24.09583282,158.6083984,318,84.72167206
88,CDRS_16356,CDRS,16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,4,5.18,2.99,4.26,0,0,4,0,1,Ecuador,Puerto Villamil,NA,-0.954888,-90.965222,,24.09583282,158.6083984,318,84.72167206
89,CDRS_16356,CDRS,16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,5,3.79,2.38,2.7,0,0,4,0,1,Ecuador,Puerto Villamil,NA,-0.954888,-90.965222,,24.09583282,158.6083984,318,84.72167206
90,CDRS_16359,CDRS,16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,1,5.81,2.49,4.36,3.24,6.89,4,1,1,Ecuador,Volcan Sierra Negra,NA,-0.955916,-90.966222,,24.09583282,158.6083984,318,84.72167206
91,CDRS_16359,CDRS,16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,2,5.81,2.3,4.32,4.04,6.52,4,1,1,Ecuador,Volcan Sierra Negra,NA,-0.955916,-90.966222,,24.09583282,158.6083984,318,84.72167206
92,CDRS_16359,CDRS,16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,3,5.52,2.24,4.23,3.77,6.72,4,1,1,Ecuador,Volcan Sierra Negra,NA,-0.955916,-90.966222,,24.09583282,158.6083984,318,84.72167206
93,CDRS_16359,CDRS,16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,4,4.32,1.83,3.35,1.66,3.69,4,1,1,Ecuador,Volcan Sierra Negra,NA,-0.955916,-90.966222,,24.09583282,158.6083984,318,84.72167206
94,CDRS_16359,CDRS,16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,5,4.33,1.53,3.07,1.92,2.81,4,1,1,Ecuador,Volcan Sierra Negra,NA,-0.955916,-90.966222,,24.09583282,158.6083984,318,84.72167206
95,CDRS_43184,CDRS,43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,1,6.15,3.24,4.95,2.87,6.74,4,1,1,Ecuador,Baltra Airport,NA,-0.446694,-90.268777,,24.31666756,154.6599579,163,104.3817749
96,CDRS_43184,CDRS,43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,2,6.75,3.74,5.4,2.74,6.71,4,1,1,Ecuador,Baltra Airport,NA,-0.446694,-90.268777,,24.31666756,154.6599579,163,104.3817749
97,CDRS_43184,CDRS,43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,3,7.32,4.61,6.08,1.91,7.03,4,1,1,Ecuador,Baltra Airport,NA,-0.446694,-90.268777,,24.31666756,154.6599579,163,104.3817749
98,CDRS_43184,CDRS,43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,4,5.46,3.03,4.82,2.87,4.54,4,1,1,Ecuador,Baltra Airport,NA,-0.446694,-90.268777,,24.31666756,154.6599579,163,104.3817749
99,CDRS_43184,CDRS,43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,5,6.09,3.18,5.02,2.19,5.96,4,1,1,Ecuador,Baltra Airport,NA,-0.446694,-90.268777,,24.31666756,154.6599579,163,104.3817749
100,CDRS_43184,CDRS,43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,6,4.88,2.97,4.67,0,0,4,0,1,Ecuador,Baltra Airport,NA,-0.446694,-90.268777,,24.31666756,154.6599579,163,104.3817749
101,CDRS_43184,CDRS,43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,7,5.46,3.25,4.87,3.54,6.98,4,1,1,Ecuador,Baltra Airport,NA,-0.446694,-90.268777,,24.31666756,154.6599579,163,104.3817749
102,CDRS_43184,CDRS,43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,8,8.14,4.05,5.74,1.95,5.95,4,1,1,Ecuador,Baltra Airport,NA,-0.446694,-90.268777,,24.31666756,154.6599579,163,104.3817749
103,CDRS_43184,CDRS,43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,9,6.78,3.81,5.43,2.41,6.7,4,1,1,Ecuador,Baltra Airport,NA,-0.446694,-90.268777,,24.31666756,154.6599579,163,104.3817749
