ind_num,ID,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,length,width,depth,tip_distance,spine_num,lower_spines,country,location,notes
95,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,1,6.15,3.24,4.95,6.74,4,1,Ecuador,Baltra Airport,NA
96,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,2,6.75,3.74,5.4,6.71,4,1,Ecuador,Baltra Airport,NA
97,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,3,7.32,4.61,6.08,7.03,4,1,Ecuador,Baltra Airport,NA
98,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,4,5.46,3.03,4.82,4.54,4,1,Ecuador,Baltra Airport,NA
99,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,5,6.09,3.18,5.02,5.96,4,1,Ecuador,Baltra Airport,NA
100,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,6,4.88,2.97,4.67,0,4,1,Ecuador,Baltra Airport,NA
101,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,7,5.46,3.25,4.87,6.98,4,1,Ecuador,Baltra Airport,NA
102,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,8,8.14,4.05,5.74,5.95,4,1,Ecuador,Baltra Airport,NA
103,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,9,6.78,3.81,5.43,6.7,4,1,Ecuador,Baltra Airport,NA
104,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,10,6.67,3.8,5.54,7.17,4,1,Ecuador,Baltra Airport,NA
105,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,11,6.45,3.87,5.27,6.46,4,1,Ecuador,Baltra Airport,NA
106,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,12,7.21,3.38,5.49,3.66,4,1,Ecuador,Baltra Airport,NA
107,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,13,5.56,3.39,5.17,3.5,4,1,Ecuador,Baltra Airport,NA
108,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,14,6.98,3.9,5.57,5.74,4,1,Ecuador,Baltra Airport,NA
109,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,1,7.13,2.97,5.8,8.49,2,0,Ecuador,North,NA
110,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,2,7.03,3.1,5.54,8.44,2,0,Ecuador,North,NA
111,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,3,4.34,2.05,3.78,0,2,0,Ecuador,North,NA
112,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,4,5.59,2.87,4.01,0,2,0,Ecuador,North,NA
113,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,5,5.89,3.25,5.24,7.43,2,0,Ecuador,North,NA
114,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,6,5.58,2.83,3.87,3.99,2,0,Ecuador,North,NA
115,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,8.29,3.62,4.89,12.23,2,0,Ecuador,Academy Bay,NA
116,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,8.48,3.58,4.85,10.18,2,0,Ecuador,Academy Bay,NA
117,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,3,8.21,3.77,4.86,7.68,2,0,Ecuador,Academy Bay,NA
