ind_num,ID,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,spine_num
148,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,14,2
149,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,15,2
150,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,16,2
151,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,17,2
152,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,18,2
153,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,19,2
154,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,20,2
155,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,21,2
156,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,22,2
157,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,23,2
158,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,24,2
159,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,25,2
160,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,26,2
161,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,27,2
162,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,28,2
163,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,29,2
164,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,29,2
165,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,30,2
166,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,31,2
167,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,32,2
168,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,33,2
169,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,34,2
170,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,35,2
171,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,36,2
172,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,37,2
173,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,38,2
174,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,39,2
175,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,40,2
176,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,41,2
177,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,42,2
178,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,43,2
179,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,1,2
180,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,2,2
