ID,Herbarium,year_collected,continent,mainland_island,island_group,location,Galapagos_island,finch_beak,site,individual_sample,length,length_log,length_sqr
CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,5.75,1.749199854809259,2.3979157616563596
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,6.52,1.8748743759385615,2.553429066960741
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,7.09,1.958685340544036,2.6627053911388696
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,5.58,1.7191887763932197,2.3622023622035435
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,4.73,1.5539252025038417,2.1748563170931545
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,5.46,1.6974487897568136,2.3366642891095846
CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,NA,20,7.44,2.0068708488450007,2.727636339397171
CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,NA,20,6.68,1.8991179875485542,2.584569596664017
CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,Bainbridge,21,4.43,1.4883995840570443,2.1047565179849186
CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,Bainbridge,21,4.9,1.589235205116581,2.2135943621178655
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,5.51,1.706564623164823,2.3473389188611002
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,5.47,1.6992786164338898,2.3388031127052997
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,4.53,1.5107219394949427,2.1283796653792764
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,5.87,1.7698546338400052,2.4228082879171433
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,6.27,1.8357763546448294,2.5039968051097827
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,8.04,2.0844290831908747,2.835489375751565
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,7.61,2.0294631718735947,2.7586228448267445
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,6.21,1.8261608959453874,2.4919871588754225
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,5.13,1.6351056591826783,2.264950330581225
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,6.24,1.8309801823813363,2.4979991993593593
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,6.27,1.8357763546448294,2.5039968051097827
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,5.76,1.7509374747078,2.4
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,5.45,1.6956156086751528,2.3345235059857505
CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,Botadero,25,6.62,1.890095369948917,2.5729360660537215
CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,Botadero,25,5.64,1.7298840655099674,2.3748684174075834
CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Puerto Villamil,27,5.23,1.6544112780768316,2.2869193252058544
CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Puerto Villamil,27,4.9,1.589235205116581,2.2135943621178655
CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Puerto Villamil,27,4.67,1.541159071680806,2.1610182784974308
CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Puerto Villamil,27,5.18,1.6448050562713916,2.2759613353482084
CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Puerto Villamil,27,3.79,1.332366019094335,1.9467922333931784
CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Volcan Sierra Negra,28,5.81,1.7595805708638197,2.41039415863879
CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Volcan Sierra Negra,28,5.81,1.7595805708638197,2.41039415863879
